state,occupied_perc,smocapi_35ormore_m_perc,smocapi_35more_nm_perc,utilitygas,bottled_tank,electricity,fueloil,coal_coke,wood,solar,other_fuel,total_fuel_user,value_50k_less,value_50000to99999,value_100000to149999,value_150000to199999,value_200000to299999,value_300000to499999,value_500000to999999,value_1M_more,house_median_value,year,date,abbrev,code,primary_key
Delaware,82.7,21.1,10.7,156142,33703,123152,36593,158,3642,646,2371,356407,12385,9685,18063,39293,82701,68479,19698,3644,252800,2017,1/1/2017,Del.,DE,DE_2017
District of Columbia,89.4,20.1,8.8,149570,2821,119653,4057,0,58,196,1738,278093,1494,1149,471,1918,11800,30352,49622,21999,607200,2017,1/1/2017,D.C.,DC,DC_2017
Florida,81.4,25.5,12.5,351403,62817,7100222,10763,817,10638,6965,4716,7548341,363055,557574,623599,783330,1172577,988812,394938,126302,214000,2017,1/1/2017,Fla.,FL,FL_2017
Georgia,87.5,19.4,8.5,1470240,170519,2050296,6546,699,26267,469,4624,3729660,194008,344833,398364,412476,455866,360467,155582,33326,173700,2017,1/1/2017,Ga.,GA,GA_2017
Hawaii,84.4,29.5,10,10364,6467,130309,189,64,2073,16519,131,166116,2082,3482,4983,5403,21782,57643,130921,41782,617400,2017,1/1/2017,Hawaii,HI,HI_2017
Idaho,86.6,18,7.8,329995,32187,204963,7477,62,43339,226,4756,623005,23034,33612,65043,86323,115428,84745,22830,4478,207100,2017,1/1/2017,Idaho,ID,ID_2017
Illinois,89.7,20.7,12.6,3728718,195290,801287,7702,824,19892,1094,24548,4779355,196307,451703,483387,499847,688930,572681,232691,56686,195300,2017,1/1/2017,Ill.,IL,IL_2017
Indiana,88.6,14.2,7.6,1525035,179223,764022,16008,2966,48935,722,11356,2548267,147844,403312,402718,311073,276335,163886,49105,11227,141100,2017,1/1/2017,Ind.,IN,IN_2017
Iowa,90,13.6,8,777947,161999,277510,6365,443,16193,680,9336,1250473,77293,188093,187979,158777,162929,96297,24241,4753,149100,2017,1/1/2017,Iowa,IA,IA_2017
Kansas,88.6,14,9.3,742848,79341,280820,974,394,16615,264,4612,1125868,81520,154904,133457,124581,134164,85702,24557,4623,150600,2017,1/1/2017,Kans.,KS,KS_2017
Kentucky,86.9,16.3,8.1,643422,100860,901970,14545,3564,47810,429,6919,1719519,144616,227588,242289,194766,187109,107896,34804,7600,141000,2017,1/1/2017,Ky.,KY,KY_2017
Louisiana,84.3,19.6,8.5,570226,35678,1113152,958,142,8584,1348,1485,1731573,130930,183828,189024,213645,234237,126736,43422,10407,162500,2017,1/1/2017,La.,LA,LA_2017
Maine,72.8,20,10.6,41841,61816,36406,331541,1301,54454,1228,10328,538915,27443,48515,62348,70749,95544,65839,20453,4918,191200,2017,1/1/2017,Maine,ME,ME_2017
Maryland,90.1,20.2,10.3,965820,75324,923094,186636,2323,27746,5490,9325,2195758,39951,60416,93751,143202,361761,480298,247447,45674,312500,2017,1/1/2017,Md.,MD,MD_2017
Massachusetts,90,22,15.9,1353682,88756,418715,674937,2198,34421,3525,19989,2596223,21460,21138,56097,112507,314771,583693,413990,99859,385400,2017,1/1/2017,Mass.,MA,MA_2017
Michigan,85.5,17,10.6,3006588,321684,386300,40755,1377,115077,603,37804,3910188,323639,500772,511159,488611,516042,336515,104185,22449,155700,2017,1/1/2017,Mich.,MI,MI_2017
Minnesota,88.7,15.4,8.1,1432941,221643,386925,35786,676,41056,1397,24923,2145347,66445,122433,179962,286684,441213,327987,104658,18212,224000,2017,1/1/2017,Minn.,MN,MN_2017
Mississippi,82.5,19.4,8.4,330678,122558,620169,3032,111,10490,72,1520,1088630,126792,187069,138134,116241,107841,51083,15863,5032,120200,2017,1/1/2017,Miss.,MS,MS_2017
